Region,OperatingSystem,InstanceType,OnDemand
us-east-1,Linux/UNIX (Amazon VPC),m5d.12xlarge,2.712
us-east-1,Linux/UNIX (Amazon VPC),m5a.12xlarge,2.064
us-east-1,Linux/UNIX (Amazon VPC),r5n.metal,7.152
us-east-1,Linux/UNIX (Amazon VPC),m1.small,0.044
us-east-1,Linux/UNIX (Amazon VPC),t4g.large,0.0672
us-east-1,Linux/UNIX (Amazon VPC),r5a.xlarge,0.226
us-east-1,Linux/UNIX (Amazon VPC),r5.2xlarge,0.504
us-east-1,Linux/UNIX (Amazon VPC),r5b.large,0.149
us-east-1,Linux/UNIX (Amazon VPC),t2.2xlarge,0.3712
us-east-1,Linux/UNIX (Amazon VPC),c5.xlarge,0.17
us-east-1,Linux/UNIX (Amazon VPC),m5ad.12xlarge,2.472
us-east-1,Linux/UNIX (Amazon VPC),c4.2xlarge,0.398
us-east-1,Linux/UNIX (Amazon VPC),cc2.8xlarge,2
us-east-1,Linux/UNIX (Amazon VPC),c5ad.12xlarge,2.064
us-east-1,Linux/UNIX (Amazon VPC),g3.16xlarge,4.56
us-east-1,Linux/UNIX (Amazon VPC),d3.8xlarge,3.99552
us-east-1,Linux/UNIX (Amazon VPC),t3a.nano,0.0047
us-east-1,Linux/UNIX (Amazon VPC),cr1.8xlarge,3.5
us-east-1,Linux/UNIX (Amazon VPC),m6gd.metal,2.8928
us-east-1,Linux/UNIX (Amazon VPC),u-6tb1.56xlarge,46.40391
us-east-1,Linux/UNIX (Amazon VPC),d3.xlarge,0.499
us-east-1,Linux/UNIX (Amazon VPC),z1d.large,0.186
us-east-1,Linux/UNIX (Amazon VPC),m4.4xlarge,0.8
us-east-1,Linux/UNIX (Amazon VPC),r5d.metal,6.912
us-east-1,Linux/UNIX (Amazon VPC),i3.4xlarge,1.248
us-east-1,Linux/UNIX (Amazon VPC),a1.xlarge,0.102
us-east-1,Linux/UNIX (Amazon VPC),m4.xlarge,0.2
us-east-1,Linux/UNIX (Amazon VPC),c6gn.12xlarge,2.0736
us-east-1,Linux/UNIX (Amazon VPC),g2.2xlarge,0.65
us-east-1,Linux/UNIX (Amazon VPC),c5a.large,0.077
us-east-1,Linux/UNIX (Amazon VPC),m5n.2xlarge,0.476
us-east-1,Linux/UNIX (Amazon VPC),g4ad.16xlarge,3.468
us-east-1,Linux/UNIX (Amazon VPC),c4.large,0.1
us-east-1,Linux/UNIX (Amazon VPC),c5.9xlarge,1.53
us-east-1,Linux/UNIX (Amazon VPC),r5d.24xlarge,6.912
us-east-1,Linux/UNIX (Amazon VPC),c4.xlarge,0.199
us-east-1,Linux/UNIX (Amazon VPC),h1.4xlarge,0.936
us-east-1,Linux/UNIX (Amazon VPC),m5d.metal,5.424
us-east-1,Linux/UNIX (Amazon VPC),r3.8xlarge,2.66
